date,start_station_id,start_station_name,n_trips,avg_trip_duration_min,median_trip_duration_min,n_member,n_casual,share_member,share_casual,prev_n_trips,delta_n_trips,delta_n_trips_pct,n_trips_7day_avg,rank_by_date
2024-01-01,JC115,Grove St PATH,84,9.616666666666665,5.216666666666667,67,17,0.7976190476190477,0.20238095238095238,,,,84.0,1
2024-01-01,HB102,Hoboken Terminal - River St & Hudson Pl,75,11.722666666666669,8.116666666666667,37,38,0.49333333333333335,0.5066666666666667,,,,75.0,2
2024-01-01,JC116,Exchange Pl,42,10.796428571428567,8.383333333333333,28,14,0.6666666666666666,0.3333333333333333,,,,42.0,3
2024-01-01,HB105,City Hall - Washington St & 1 St,40,7.110416666666664,5.583333333333333,29,11,0.725,0.275,,,,40.0,4
2024-01-01,HB502,11 St & Washington St,36,7.717592592592592,5.0,24,12,0.6666666666666666,0.3333333333333333,,,,36.0,5
2024-01-01,JC008,Newport Pkwy,36,16.852777777777774,9.216666666666667,24,12,0.6666666666666666,0.3333333333333333,,,,36.0,6
2024-01-01,JC109,Bergen Ave & Sip Ave,35,7.222857142857141,4.2,26,9,0.7428571428571429,0.2571428571428571,,,,35.0,7
2024-01-01,HB101,Hoboken Terminal - Hudson St & Hudson Pl,32,7.080729166666666,6.566666666666666,17,15,0.53125,0.46875,,,,32.0,8
2024-01-01,JC003,City Hall,32,7.644270833333333,2.7,22,10,0.6875,0.3125,,,,32.0,9
2024-01-01,JC105,Hoboken Ave at Monmouth St,32,9.407291666666667,9.3,15,17,0.46875,0.53125,,,,32.0,10
2024-01-02,HB102,Hoboken Terminal - River St & Hudson Pl,100,6.8285000000000045,5.583333333333333,78,22,0.78,0.22,75,25,0.3333333333333333,87.5,1
2024-01-02,JC115,Grove St PATH,99,8.38821548821549,5.316666666666666,87,12,0.8787878787878788,0.12121212121212122,84,15,0.17857142857142858,91.5,2
2024-01-02,HB101,Hoboken Terminal - Hudson St & Hudson Pl,56,5.734523809523807,5.233333333333333,46,10,0.8214285714285714,0.17857142857142858,32,24,0.75,44.0,3
2024-01-02,JC066,Newport PATH,54,9.378703703703705,6.3,46,8,0.8518518518518519,0.14814814814814814,23,31,1.3478260869565217,38.5,4
2024-01-02,HB609,River St & 1 St,50,5.496000000000001,5.05,46,4,0.92,0.08,29,21,0.7241379310344828,39.5,5
2024-01-02,HB105,City Hall - Washington St & 1 St,47,8.036170212765956,5.733333333333333,32,15,0.6808510638297872,0.3191489361702128,40,7,0.175,43.5,6
2024-01-02,JC109,Bergen Ave & Sip Ave,47,5.659219858156029,4.55,39,8,0.8297872340425532,0.1702127659574468,35,12,0.34285714285714286,41.0,7
2024-01-02,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,38,8.960087719298244,8.816666666666666,24,14,0.631578947368421,0.3684210526315789,31,7,0.22580645161290322,34.5,8
2024-01-02,JC008,Newport Pkwy,38,18.033771929824564,8.816666666666666,32,6,0.8421052631578947,0.15789473684210525,36,2,0.05555555555555555,37.0,9
2024-01-02,JC009,Hamilton Park,38,5.5017543859649125,4.433333333333334,30,8,0.7894736842105263,0.21052631578947367,19,19,1.0,28.5,10
2024-01-03,HB102,Hoboken Terminal - River St & Hudson Pl,96,6.100520833333334,5.466666666666667,78,18,0.8125,0.1875,100,-4,-0.04,90.33333333333333,1
2024-01-03,JC115,Grove St PATH,85,6.304117647058822,5.366666666666666,80,5,0.9411764705882353,0.058823529411764705,99,-14,-0.1414141414141414,89.33333333333333,2
2024-01-03,HB101,Hoboken Terminal - Hudson St & Hudson Pl,56,5.5202380952380965,4.733333333333333,50,6,0.8928571428571429,0.10714285714285714,56,0,0.0,48.0,3
2024-01-03,JC066,Newport PATH,55,7.557878787878788,6.916666666666667,54,1,0.9818181818181818,0.01818181818181818,54,1,0.018518518518518517,44.0,4
2024-01-03,JC109,Bergen Ave & Sip Ave,54,8.136728395061732,5.966666666666667,49,5,0.9074074074074074,0.09259259259259259,47,7,0.14893617021276595,45.333333333333336,5
2024-01-03,JC008,Newport Pkwy,50,10.768999999999998,8.35,44,6,0.88,0.12,38,12,0.3157894736842105,41.333333333333336,6
2024-01-03,HB609,River St & 1 St,47,5.810992907801419,5.166666666666667,43,4,0.9148936170212766,0.0851063829787234,50,-3,-0.06,42.0,7
2024-01-03,HB105,City Hall - Washington St & 1 St,45,6.363333333333335,4.983333333333333,35,10,0.7777777777777778,0.2222222222222222,47,-2,-0.0425531914893617,44.0,8
2024-01-03,JC009,Hamilton Park,45,5.2018518518518535,4.25,42,3,0.9333333333333333,0.06666666666666667,38,7,0.18421052631578946,34.0,9
2024-01-03,HB502,11 St & Washington St,44,6.052272727272728,5.583333333333333,31,13,0.7045454545454546,0.29545454545454547,36,8,0.2222222222222222,38.666666666666664,10
2024-01-04,HB102,Hoboken Terminal - River St & Hudson Pl,122,5.633879781420767,5.1,100,22,0.819672131147541,0.18032786885245902,96,26,0.2708333333333333,98.25,1
2024-01-04,JC115,Grove St PATH,106,5.7753144654088056,4.716666666666667,93,13,0.8773584905660378,0.12264150943396226,85,21,0.24705882352941178,93.5,2
2024-01-04,JC066,Newport PATH,54,7.573765432098766,6.8,49,5,0.9074074074074074,0.09259259259259259,55,-1,-0.01818181818181818,46.5,3
2024-01-04,HB105,City Hall - Washington St & 1 St,50,5.467000000000001,4.183333333333334,40,10,0.8,0.2,45,5,0.1111111111111111,45.5,4
2024-01-04,HB609,River St & 1 St,49,6.202040816326527,4.9,47,2,0.9591836734693877,0.04081632653061224,47,2,0.0425531914893617,43.75,5
