date,start_station_id,start_station_name,n_trips,avg_trip_duration_min,median_trip_duration_min,n_member,n_casual,share_member,share_casual,prev_n_trips,delta_n_trips,delta_n_trips_pct,n_trips_7day_avg
2024-01-01,JC023,Brunswick St,3,4.8388888888888895,3.8666666666666667,2,1,0.6666666666666666,0.3333333333333333,,,,3.0
2024-01-01,JC024,Pershing Field,6,7.938888888888889,7.033333333333333,4,2,0.6666666666666666,0.3333333333333333,,,,6.0
2024-01-01,JC027,Jersey & 6th St,8,12.070833333333331,4.9,7,1,0.875,0.125,,,,8.0
2024-01-01,JC032,Newark Ave,21,13.985714285714291,9.1,17,4,0.8095238095238095,0.19047619047619047,,,,21.0
2024-01-01,JC034,Christ Hospital,3,9.105555555555556,9.833333333333334,2,1,0.6666666666666666,0.3333333333333333,,,,3.0
2024-01-01,JC035,Van Vorst Park,19,17.764035087719297,5.6,11,8,0.5789473684210527,0.42105263157894735,,,,19.0
2024-01-01,JC038,Essex Light Rail,13,18.105128205128203,5.2,8,5,0.6153846153846154,0.38461538461538464,,,,13.0
2024-01-01,JC051,Union St,3,11.283333333333333,11.566666666666666,1,2,0.3333333333333333,0.6666666666666666,,,,3.0
2024-01-01,JC052,Liberty Light Rail,14,19.586904761904755,13.016666666666667,6,8,0.42857142857142855,0.5714285714285714,,,,14.0
2024-01-01,JC053,Lincoln Park,6,18.76111111111111,14.333333333333334,5,1,0.8333333333333334,0.16666666666666666,,,,6.0
2024-01-01,JC055,McGinley Square,12,10.4125,10.266666666666667,8,4,0.6666666666666666,0.3333333333333333,,,,12.0
2024-01-01,JC057,Riverview Park,4,7.954166666666667,5.8,4,0,1.0,0.0,,,,4.0
2024-01-01,JC059,Heights Elevator,2,11.241666666666667,10.65,1,1,0.5,0.5,,,,2.0
2024-01-01,JC063,Jackson Square,5,48.45666666666666,11.55,4,1,0.8,0.2,,,,5.0
2024-01-01,JC065,Dey St,2,5.383333333333333,5.1,2,0,1.0,0.0,,,,2.0
2024-01-01,JC066,Newport PATH,23,10.716666666666667,8.116666666666667,20,3,0.8695652173913043,0.13043478260869565,,,,23.0
2024-01-01,JC072,Morris Canal,13,5.8128205128205135,4.35,12,1,0.9230769230769231,0.07692307692307693,,,,13.0
2024-01-01,JC074,Jersey & 3rd,11,7.781818181818181,7.1,7,4,0.6363636363636364,0.36363636363636365,,,,11.0
2024-01-01,JC075,Monmouth and 6th,6,6.502777777777779,4.333333333333333,5,1,0.8333333333333334,0.16666666666666666,,,,6.0
2024-01-01,JC076,Dixon Mills,13,6.274358974358975,6.433333333333334,9,4,0.6923076923076923,0.3076923076923077,,,,13.0
2024-01-01,JC077,Astor Place,4,16.491666666666667,4.733333333333333,4,0,1.0,0.0,,,,4.0
2024-01-01,JC078,Lafayette Park,10,26.388333333333332,7.8,5,5,0.5,0.5,,,,10.0
2024-01-01,JC080,Leonard Gordon Park,6,8.902777777777777,7.816666666666666,5,1,0.8333333333333334,0.16666666666666666,,,,6.0
2024-01-01,JC081,Brunswick & 6th,6,5.625,5.133333333333334,5,1,0.8333333333333334,0.16666666666666666,,,,6.0
2024-01-01,JC082,Manila & 1st,16,6.083333333333333,4.55,13,3,0.8125,0.1875,,,,16.0
2024-01-01,JC084,Communipaw & Berry Lane,4,9.212499999999999,7.05,3,1,0.75,0.25,,,,4.0
2024-01-01,JC093,Fairmount Ave,18,4.258333333333335,3.3666666666666667,13,5,0.7222222222222222,0.2777777777777778,,,,18.0
2024-01-01,JC094,Glenwood Ave,4,7.695833333333335,4.166666666666667,3,1,0.75,0.25,,,,4.0
2024-01-01,JC095,Bergen Ave,7,9.642857142857142,7.083333333333333,3,4,0.42857142857142855,0.5714285714285714,,,,7.0
2024-01-01,JC098,Washington St,24,12.063888888888892,10.35,16,8,0.6666666666666666,0.3333333333333333,,,,24.0
2024-01-01,JC099,Montgomery St,15,12.945555555555554,8.266666666666667,10,5,0.6666666666666666,0.3333333333333333,,,,15.0
2024-01-01,JC102,Grand St,17,10.050980392156863,5.033333333333333,12,5,0.7058823529411765,0.29411764705882354,,,,17.0
2024-01-01,JC103,Journal Square,15,6.614444444444445,4.2,14,1,0.9333333333333333,0.06666666666666667,,,,15.0
2024-01-01,JC104,Harborside,26,11.33846153846154,10.116666666666667,15,11,0.5769230769230769,0.4230769230769231,,,,26.0
2024-01-01,JC105,Hoboken Ave at Monmouth St,32,9.407291666666667,9.3,15,17,0.46875,0.53125,,,,32.0
2024-01-01,JC108,Bergen Ave & Stegman St,1,9.466666666666667,9.466666666666667,0,1,0.0,1.0,,,,1.0
2024-01-01,JC109,Bergen Ave & Sip Ave,35,7.222857142857141,4.2,26,9,0.7428571428571429,0.2571428571428571,,,,35.0
2024-01-01,JC110,JC Medical Center,17,10.897058823529413,5.733333333333333,15,2,0.8823529411764706,0.11764705882352941,,,,17.0
2024-01-01,JC115,Grove St PATH,84,9.616666666666665,5.216666666666667,67,17,0.7976190476190477,0.20238095238095238,,,,84.0
2024-01-01,JC116,Exchange Pl,42,10.796428571428567,8.383333333333333,28,14,0.6666666666666666,0.3333333333333333,,,,42.0
2024-01-02,HB101,Hoboken Terminal - Hudson St & Hudson Pl,56,5.734523809523807,5.233333333333333,46,10,0.8214285714285714,0.17857142857142858,32,24,0.75,44.0
2024-01-02,HB102,Hoboken Terminal - River St & Hudson Pl,100,6.8285000000000045,5.583333333333333,78,22,0.78,0.22,75,25,0.3333333333333333,87.5
2024-01-02,HB103,South Waterfront Walkway - Sinatra Dr & 1 St,38,8.960087719298244,8.816666666666666,24,14,0.631578947368421,0.3684210526315789,31,7,0.22580645161290322,34.5
2024-01-02,HB105,City Hall - Washington St & 1 St,47,8.036170212765956,5.733333333333333,32,15,0.6808510638297872,0.3191489361702128,40,7,0.175,43.5
2024-01-02,HB201,12 St & Sinatra Dr N,29,8.064367816091954,6.35,21,8,0.7241379310344828,0.27586206896551724,22,7,0.3181818181818182,25.5
2024-01-02,HB202,14 St Ferry - 14 St & Shipyard Ln,29,8.237931034482758,6.083333333333333,24,5,0.8275862068965517,0.1724137931034483,24,5,0.20833333333333334,26.5
2024-01-02,HB203,Bloomfield St & 15 St,31,9.98172043010753,7.933333333333334,23,8,0.7419354838709677,0.25806451612903225,17,14,0.8235294117647058,24.0
2024-01-02,HB301,4 St & Grand St,20,4.935833333333333,5.0,17,3,0.85,0.15,9,11,1.2222222222222223,14.5
2024-01-02,HB302,6 St & Grand St,13,5.160256410256411,4.866666666666666,12,1,0.9230769230769231,0.07692307692307693,15,-2,-0.13333333333333333,14.0
